id,label,context
01000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media"
02000000,"crime, law and justice","The establishment and/or statement of the rules of behavior in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organizations and bodies involved in these activities"
03000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property
04000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth."
05000000,education,"All aspects of furthering knowledge, formally or informally"
06000000,environment,"All aspects of protection, damage, and condition of the ecosystem of the planet earth and its surroundings."
07000000,health,All aspects of physical and mental well-being
08000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way"
09000000,labor,"Social aspects, organizations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed."
10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel."
11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states."
12000000,religion,"Belief systems, institutions and people who provide moral guidance to followers"
13000000,science and technology,"All aspects pertaining to human understanding of, as well as methodical study and research of natural, formal and social sciences, such as astronomy, linguistics or economics"
14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning"
15000000,sport,Competitive activity or skill that involves physical and/or mental effort and organizations and bodies involved in these activities
16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts"
17000000,weather,"The study, prediction and reporting of meteorological phenomena"
20000002,arts and entertainment,All forms of arts and entertainment
20000003,animation,Stories told through animated drawings in either full-length or short format
20000004,cartoon,"Drawings, such as editorial cartoons and comic strips, often using humor or satire"
20000005,movies,"Stories told through motion pictures, such as full-length or short format documentary or fictional features"
20000006,film festival,All forms of national and international film festivals
20000007,dance,A form of performing art consisting of purposefully selected sequences of human movement
20000008,ballet,"A classical dance form based on formal gestures, steps and postures"
20000009,modern dance,A theatrical dance style based on free-style expression rather than formal gestures
20000010,traditional dance,"Dance style that reflects the life and culture of a specific group of people or region, such as folk and ceremonial dance"
20000011,fashion,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends"
20000012,jewelry,"Decorative items worn for personal expression and adornment, such as rings, necklaces, earrings"
20000013,literature,The telling of a story through written language
20000014,drama (literature),Work written to be performed on the stage
20000015,fiction,"Written works that are not based on fact, but are the creation of the author's imagination"
20000016,non-fiction,Written works that are based on fact
20000017,poetry,Written works that use the esthetic and rhythmic qualities of language to express a message or emotion
20000018,music,"A form of performing art using instruments or voice to create different sounds, tones and harmonies"
20000019,musical instrument,Objects used to play music on
20000020,musical performance,Musicians performing for an audience for the purpose of entertainment
20000021,musical genre,A distinguishable type of music
20000022,classical music,"A genre of music rooted in the traditions of Western music, including both religious and secular music, such as symphony, concerto and sonata."
20000023,country music,"A genre of music that originated in the southern United States, often consisting of ballads or dance tunes and featuring string instruments such as banjos, fiddles and guitars"
20000024,folk music,"A genre of music that developed from traditional popular cultures, often based on story telling"
20000025,jazz music,A genre of music with roots in blues and ragtime that originated in African American communities of New Orleans in the United States in the late 19th and early 20th centuries
20000026,popular music,A genre of music that is widely accessible and designed to appeal to all
20000027,rock and roll music,"A genre of music that originated in the United States during the late 1940s and early 1950s, evolving from African American musical styles such as gospel, jump blues, jazz, boogie woogie, and rhythm and blues."
20000028,opera,A form of performing art where classically trained musicians and singers perform a musical and dramatic work
20000029,theater,A form of performing art where live performers portray a narrative to an audience through dialog and action
20000030,music theater,"A form of performing art where live performers portray a narrative to an audience through song, dialog and action, such as musicals and operettas"
20000031,visual arts,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture."
20000032,architecture,"The design of buildings, monuments and the spaces around them"
20000033,design (visual arts),"An artistic discipline which focuses on visual communication and presentation, the final product of which can range from jewelry to interior design"
20000034,drawing,"A form of visual arts using mediums such as pencils, markers, pen and ink, charcoal"
20000035,painting,"A form of visual arts using mediums such as oil paint, watercolor, pastel, crayon"
20000036,photography,A form of visual arts using photographic images
20000037,sculpture,"A form of visual arts using mediums such as clay, stone, wood and metal to create three-dimensional works"
20000038,culture,"The ideas, customs, arts, traditions of a particular group of persons"
20000039,cultural development,"The history of the development of art and culture such as the rise of cave paintings, linguistic variations over time, the evolution of values"
20000040,customs and tradition,"A particular way of behaving, or observances that have developed over time by a group of people"
20000041,festive event (culture),An event ordinarily celebrated by a community and centering on some characteristic aspect of that community and its religion or traditions
20000042,language,"The method of human communication, either spoken or written, consisting of words that are used in a structured and conventional way"
20000043,library and museum,"Institutions that house collections of books, music, art, or objects from the past and present optionally for public use and display"
20000044,monument and heritage site,"Commemorations of historical people, events, or the areas containing them, in the form of structures such as sculptures, statues or buildings"
20000045,mass media,Media addressing a large audience
20000046,news media,"The presentation of news to the public through different platforms, such as TV, radio, newspapers, magazines, web pages and blogs"
20000047,newspaper,"Daily or weekly publication that presents the news, locally, regionally or globally, as well as features, opinion columns, comics and other content"
20000048,online media outlet,"Publication distributing content, such as articles, blogs, photos, video and music, only over the internet"
20000049,periodical,"Publication that is usually published weekly, bi-weekly, monthly or annually, such as magazines, journals or newsletters"
20000050,radio,"Audio content, such as news, entertainment or information, distributed via broadcast or internet"
20000051,television,"Video content, such as news, entertainment or information, distributed via broadcast or internet"
20000053,act of terror,"Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population"
20000054,act of bioterrorism,Attacks using biological agents intended to raise the level of fear within a population
20000055,terrorist bombings,"Intentional use of explosive devices on people, buildings or other structures"
20000056,armed conflict,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars"
20000057,guerrilla activity,"Anti-government or wartime actions by clandestine or non-state combatant groups, often using tactics such as ambush, sabotage, raids and kidnapping"
20000058,international military intervention,The temporary use of international forces in a country or region that requires outside help with resolving a crisis
20000059,peacekeeping force,"The military forces of a nation, or of several nations working together, whose mission is to maintain peace in areas of conflict"
20000060,military occupation,The temporary forceful taking over of a country or region by invading military forces
20000061,missing in action,"Civilians or military personnel who have gone missing during or after hostilities, conflicts or war"
20000062,war,Armed hostilities by one group or geopolitical entity against another
20000063,civil war,"Armed conflict between members of the same country, in some cases with the goal of dividing the country"
20000064,war crime action,"Actions alleged as crimes committed during a war or armed conflict, usually against civilians or POWs"
20000065,civil unrest,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions"
20000066,demonstration,"A non-violent public show of support for or opposition to a cause, idea or policy, in the form of a mass meeting or march"
20000067,rebellion,"Organized actions of opposition to a government or ruling party by a country's residents, often violent and with the aim of overthrowing the government"
20000068,revolution,"A forcible and often violent change to, or overthrow of, a country's political system or social order by internal forces, in favor of a new system"
20000069,riot,"Violent, destructive events of civil disorder by groups of people, usually in response to a grievance or as acts of opposition, often involving injury to individuals and destruction of property"
20000070,coup d'etat,The overthrow of an established government by an organized military or political group
20000071,massacre,"The mass killing of people, usually civilians, during wartime hostilities"
20000072,genocide,"The systematic killing of one clan, tribe, or religious or ethnic group by another"
20000073,peace process,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements"
20000074,peace envoy,Person or organization initiating and carrying out a peace process
20000075,peace plan,A strategy for achieving peace in a warring nation or area of conflict
20000076,peace talks,"Discussions between countries, world regions or geopolitical entities in conflict or at war, often with a mediator, with the goal of arriving at a solution for peace"
20000077,post-war reconstruction,"Actions to rebuild a society, economy or political system in an area affected by war"
20000078,disarmament,The abolishment or reduction of a country's military weapons cache
20000079,ordnance clearance,The removal or neutralization of ordnance such as landmines or cluster bombs that may remain after a war or armed conflict on public ground
20000080,prisoners of war,"Individuals captured, imprisoned or detained by enemy factions during military conflicts or war"
20000082,crime,"Violations of laws by individuals, companies or organizations"
20000083,arson,The intentional setting of fires with criminal intent
20000084,assault,"Physical crime against a person, including battery, brawls and threat of bodily harm"
20000085,sex crime,"Sexual crimes against a person, such as rape, harassment, molestation or groping"
20000086,cyber crime,"Criminal activities carried out by means of computers or the internet, such as hacking, phishing scams and identity theft"
20000087,corporate crime,Crimes committed by a corporation or by individuals acting on behalf of a corporation
20000088,anti-trust crime,Violations of laws aimed at corporations to promote fair competition for the benefit of consumers
20000089,breach of contract,The breaking of terms set in a contractual agreement
20000090,embezzlement,The intentional theft or misuse of money left in one's care or belonging to one's employer
20000091,insider trading,Trading of stocks by persons having access to internal information not made public at the time
20000092,restraint of trade,Interference in free competition in business and trade
20000093,corruption,Dishonest actions by a person in power in return for pecuniary or personal gain
20000094,bribery,The giving of money or favors in order to influence the judgment or conduct of a person in a position of power
20000095,drug related crimes,"Illegal activities involving illicit substances, including buying, distribution, selling and smuggling"
20000096,drug trafficking,Dealing in illicit often harmful substances
20000097,fraud,Intentional deception for personal or financial gain
20000098,hijacking,Taking over a transportation vehicle by force
20000099,homicide,"The killing of one person by another, including murder and manslaughter"
20000100,kidnapping,"To seize and detain a person against that person's will by unlawful threat, force or fraud"
20000101,organized crime,"Crimes committed by gangs or criminal organizations, such as the mafia"
20000102,gang activity,"Criminal activities by groups of individuals, who are allied by common territories, languages or ethnic backgrounds and identify by a common group identity by using a shared name, tattoo, hand sign, clothing style or graffiti symbol"
20000103,terrorism,Violence against people to create fear in order to achieve political or ideological objectives
20000104,robbery and theft,"The taking of another person's property without their consent, sometimes by force"
20000105,war crime,"Crimes committed during a war or armed conflict, usually against civilians or prisoners of war, including the prosecution of such crimes"
20000106,judiciary,The system of courts of law
20000107,court,Place where legal cases are heard and decided
20000108,appeal (court),Process in which parties request a formal change to an official decision
20000109,court administration,"Court clerks, bailiffs, stenographers etc."
20000110,judge,Official who decides cases in a court of law and passes sentences on those found guilty
20000111,trial (court),"The process by which evidence is presented and guilt, innocence or culpability is determined"
20000112,pre-trial,"Actions that happen before the start of a trial, such as pleas, bail motions, discovery and depositions"
20000113,defendant,The person on trial
20000114,litigation,Taking disputed issues to court for settlement by judge and/or jury
20000115,witness,A person who testifies
20000116,out of court procedures,Legal issues which are settled outside of court
20000117,arbitration and mediation,"Resolution of disputed issues by a neutral panel, including conciliation, negotiation and tribunals"
20000118,prosecution and prosecutors,The process of holding a trial against a person or entity who is accused of a crime to determine guilt and the lawyers and legal team who argue that the accused is guilty
20000119,justice,The equitable administration of laws and regulations
