source_text,chunk_id,question,answer,course,persona,embedding_text
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Qual é o objetivo do curso de Bacharelado em Ciências de Computação?,"O curso visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, para atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados.",Bacharelado em Ciência da Computação,aluno,Qual é o objetivo do curso de Bacharelado em Ciências de Computação?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Quais são as principais habilidades esperadas de um egresso do curso?,"O egresso deve possuir conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, com maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação.",Bacharelado em Ciência da Computação,aluno,Quais são as principais habilidades esperadas de um egresso do curso?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Em que áreas o egresso pode atuar?,"O egresso pode atuar em ambientes corporativos, atividades de pesquisa, carreira acadêmica, consultorias ou como empreendedor no ramo da computação.",Bacharelado em Ciência da Computação,aluno,Em que áreas o egresso pode atuar?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Quais são as características essenciais para um profissional de Ciências de Computação?,"Capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos, além de competência, criatividade, senso crítico e ética.",Bacharelado em Ciência da Computação,aluno,Quais são as características essenciais para um profissional de Ciências de Computação?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,O que é oferecido para garantir a formação prática dos alunos?,O curso oferece uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas.,Bacharelado em Ciência da Computação,aluno,O que é oferecido para garantir a formação prática dos alunos?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Qual é a base fornecida pelo curso para os alunos?,"O curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação.",Bacharelado em Ciência da Computação,aluno,Qual é a base fornecida pelo curso para os alunos?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Quais são os perfis de atuação do egresso?,"Atuação em empresas de computação, atividades de pesquisa e como empreendedor na área de computação.",Bacharelado em Ciência da Computação,aluno,Quais são os perfis de atuação do egresso?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,O que se espera de um egresso em termos de conhecimento?,"Conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e enfrentar novos problemas com competência.",Bacharelado em Ciência da Computação,aluno,O que se espera de um egresso em termos de conhecimento?
"UNIVERSIDADE DE SÃO PAULO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO PROJETO PEDAGÓGICO DO CURSO DE BACHARELADO EM CIÊNCIAS DE COMPUTAÇÃO Ano de referência do currículo: 2024 Índice 1. Objetivos do Curso ............................................................................................................................. 2 2. Perfil do Egresso do Curso ................................................................................................................ 3 2.1 Atuação em empresas de computação ................................................................................................................................... 4 2.2 Atuação em atividades de pesquisa ....................................................................................................................................... 5 2.3 Atuação como empreendedor na área de computação ........................................................................................................... 5 3. Metodologia do Curso ........................................................................................................................ 6 3.1 Aptidões comuns a todos os egressos .................................................................................................................................... 9 3.2 Aptidões para atuação em empresas de computação ........................................................................................................... 21 3.3 Aptidões para atuação em atividades de pesquisa ............................................................................................................... 22 3.4 Aptidões para atuação como empreendedor na área de computação ................................................................................... 23 4. Estruturação do Curso .................................................................................................................... 25 5. Evolução e Avaliação do Curso ....................................................................................................... 26 5.1 História e evolução do curso ............................................................................................................................................... 26 5.2 Avaliações do curso pelos alunos. ....................................................................................................................................... 28 5.3 Avaliações dos alunos pelas empresas ou orientadores ....................................................................................................... 29 5.4 Avaliações complementares e externas do curso................................................................................................................. 30 6. Apoio aos Alunos .............................................................................................................................. 30 Apêndice – Grade Curricular ............................................................................................................. 32 Tabela Disciplinas com Atividades de Extensão 35 Data da última atualização: 10/11/2023

2 1. Objetivos do Curso O curso de Bacharelado em Ciências de Computação do ICMC USP visa preparar um profissional com sólida formação conceitual, teórica e experimental em diferentes áreas de Computação, de forma a qualificá lo a atuar em qualquer área e ramo de conhecimento em que recursos computacionais sejam empregados. Para que isso seja possível, o curso oferece forte embasamento lógico e matemático, sólida formação em técnicas e métodos consagrados e tecnologias avançadas de computação, além de uma ampla formação prática por meio do desenvolvimento de projetos e utilização de ferramentas. Espera se do egresso que possua conhecimento necessário para projetar, desenvolver e gerenciar sistemas de computação, que abranjam desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas. O egresso deve, portanto, possuir a maturidade e conhecimentos teóricos e práticos para atuar nos diferentes domínios da computação. A capacidade de adaptação à evolução da computação, tanto em termos teóricos como em termos tecnológicos também é essencial para um profissional dessa área. Além de poder atuar em ambientes corporativos que fazem uso da computação, o egresso deverá estar igualmente apto a atuar em atividades de pesquisa, na carreira acadêmica, em consultorias ou como empreendedor no ramo da computação. Desta forma, o objetivo do curso de Bacharelado em Ciências de Computação é formar um profissional com conhecimentos sólidos atualizados em computação, capaz de se adaptar a diferentes situações com relativa facilidade e que consiga enfrentar novos problemas com competência, criatividade, senso crítico e ética.",1,Quais são as áreas de conhecimento que o egresso deve abranger?,Desde soluções voltadas a computadores pessoais quanto a redes corporativas mais complexas.,Bacharelado em Ciência da Computação,aluno,Quais são as áreas de conhecimento que o egresso deve abranger?
