source_text,chunk_id,question,answer,course,persona,embedding_text
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Qual é o objetivo principal do curso de Engenharia de Computação?,Formar recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação.,Engenharia da Computação,aluno,Qual é o objetivo principal do curso de Engenharia de Computação?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais instituições estão envolvidas na oferta do curso de Engenharia de Computação?,"Escola de Engenharia de São Carlos (EESC) e Instituto de Ciências Matemáticas e de Computação (ICMC), ambos do Campus da USP em São Carlos.",Engenharia da Computação,aluno,Quais instituições estão envolvidas na oferta do curso de Engenharia de Computação?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Onde está localizado o Campus da USP em São Carlos?,"Área 1: Avenida Trabalhador São carlense, 400, 13566 590 São Carlos, SP e Área 2: Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP",Engenharia da Computação,aluno,Onde está localizado o Campus da USP em São Carlos?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Qual é o perfil profissional projetado para os egressos do curso?,"Profissionais com habilidades em áreas que constituem interface entre engenharia elétrica e ciências da computação, com um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país.",Engenharia da Computação,aluno,Qual é o perfil profissional projetado para os egressos do curso?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,A matriz curricular proposta atende a alguma recomendação específica?,"Sim, atende às recomendações do perfil profissional para cursos de engenharia sugeridas pelo Conselho Nacional de Educação (CNE).",Engenharia da Computação,aluno,A matriz curricular proposta atende a alguma recomendação específica?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,O curso de Engenharia de Computação é uma iniciativa conjunta de quais entidades?,Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação.,Engenharia da Computação,aluno,O curso de Engenharia de Computação é uma iniciativa conjunta de quais entidades?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais são os campi da USP utilizados pelo curso?,Ambos os campi da USP em São Carlos.,Engenharia da Computação,aluno,Quais são os campi da USP utilizados pelo curso?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Qual é a data de elaboração do Projeto Pedagógico do Curso?,07 de junho de 2023.,Engenharia da Computação,aluno,Qual é a data de elaboração do Projeto Pedagógico do Curso?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,O que justifica a criação do curso de Engenharia de Computação?,"A demanda de profissionais com o perfil esboçado no documento, apontada pela análise dos panoramas científico, tecnológico e do mercado de trabalho.",Engenharia da Computação,aluno,O que justifica a criação do curso de Engenharia de Computação?
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais são as experiências utilizadas para a proposta do curso?,"As amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação.",Engenharia da Computação,aluno,Quais são as experiências utilizadas para a proposta do curso?
