source_text,chunk_id,question,answer,course,persona
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais são os objetivos principais do Curso de Graduação em Engenharia de Computação oferecido pela Universidade de São Paulo?,O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação.,Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais instituições estão envolvidas na oferta do Curso de Graduação em Engenharia de Computação?,"A Escola de Engenharia de São Carlos (EESC) e o Instituto de Ciências Matemáticas e de Computação (ICMC), ambos do Campus da USP em São Carlos.",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Qual é o perfil profissional projetado para os egressos do curso?,"O perfil profissional projetado para os egressos é aquele que atende às áreas que constituem interface entre engenharia elétrica e ciências da computação, com habilidades adquiridas por intermédio de grupo de disciplinas complementares.",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,A matriz curricular proposta atende a alguma recomendação específica?,"Sim, atende às recomendações do perfil profissional para cursos de engenharia sugeridas pelo Conselho Nacional de Educação (CNE).",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais são os campi da USP utilizados para o curso?,Os dois campi da USP em São Carlos.,Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Qual é a política adotada pela Universidade de São Paulo em relação ao curso?,A política adotada é de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.,Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,O que justifica a criação do Curso de Graduação em Engenharia de Computação?,"A demanda de profissionais com o perfil esboçado no documento, apontada pela análise dos panoramas científico, tecnológico e do mercado de trabalho.",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais são as experiências utilizadas para a proposta do curso?,"As amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação.",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Em que data foi elaborado o Projeto Pedagógico do Curso?,"São Carlos, 07 de junho de 2023.",Engenharia da Computação,pesquisador
"UNIVERSIDADE DE SÃO PAULO ESCOLA DE ENGENHARIA DE SÃO CARLOS DEPARTAMENTO DE ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO INSTITUTO DE CIÊNCIAS MATEMÁTICAS E DE COMPUTAÇÃO DEPARTAMENTO DE SISTEMAS DE COMPUTAÇÃO DEPARTAMENTO DE CIÊNCIAS DE COMPUTAÇÃO Projeto Pedagógico do Curso de Graduação em Engenharia de Computação Projeto Pedagógico do Curso de Graduação em Engenharia de Computação. O oferecimento deste curso de graduação é uma iniciativa conjunta da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação, ambos do Campus da USP em São Carlos. Universidade de São Paulo Área 1 do Campus USP São Carlos Avenida Trabalhador São carlense, 400. 13566 590 São Carlos, SP Área 2 do Campus USP São Carlos Avenida João Dagnone, 1100 – Santa Angelina – 13563 120 São Carlos, SP São Carlos, 07 de junho de 2023

PROJETO PEDAGÓGICO DO CURSO DE ENGENHARIA DE COMPUTAÇÃO, ICMC E EESC, USP SÃO CARLOS 2 RESUMO O projeto pedagógico do curso (PPC) do Curso de Graduação em Engenharia de Computação é descrito neste documento. A elaboração do projeto, oferecimento e execução do curso são iniciativas da Escola de Engenharia de São Carlos (EESC) e do Instituto de Ciências Matemáticas e de Computação (ICMC), sediados no Campus da USP em São Carlos. O objetivo principal do curso é a formação de recursos humanos plenamente capacitados para exercer atividades profissionais relacionadas com áreas que constituem interface entre engenharia elétrica e ciências da computação. A análise dos panoramas científico, tecnológico e do mercado de trabalho aponta para uma demanda de profissionais com o perfil esboçado neste documento. A partir da criação do curso, uma ampla faixa de perfis, adaptados às rápidas mudanças tecnológicas, será colocada à disposição dos alunos por intermédio de grupo de disciplinas complementares. A proposta contempla um perfil diferenciado em relação a diversos cursos de engenharia de computação já implantados no país e faz uso das amplas experiências pedagógica, científica e de prestação de serviços à comunidade da Escola de Engenharia de São Carlos e do Instituto de Ciências Matemáticas e de Computação. A matriz curricular proposta atende, em conteúdo, às recomendações do perfil profissional para cursos de engenharia, sugeridas pelo Conselho Nacional de Educação (CNE). Neste documento é apresentado o perfil profissional projetado para os egressos, as habilidades que serão adquiridas, a matriz curricular proposta, a comparação com as diretrizes propostas pelo CNE e as etapas que serão elaboradas a partir da implantação do curso. O curso faz uso da capacidade instalada nos dois campi da USP em São Carlos, atendendo aos requisitos da política adotada pela Universidade de São Paulo de ampliar a gama de serviços de qualidade oferecidos à sociedade brasileira.",1,Quais as diretrizes curriculares seguidas pelo curso?,As diretrizes propostas pelo Conselho Nacional de Educação (CNE) e as etapas que serão elaboradas a partir da implantação do curso.,Engenharia da Computação,pesquisador
